Lastname,Firstname,Gender,Age,City,Province,Country,Your Height,Your Body Weight,Your Shoe Size,How often do you  brush your teeth in a day?,What is the number of times you floss in a week?,How many languages do you speak fluently?,How many musical instruments do you play?,What is the number of years you've been in school?,How much TV do you watch in a day?,How much time do you spend on the internet everyday?,How many apps have you downloaded on your phone?,How much time do you spend on exercising every week?,How many cell phones do you own in a year?,How many game consoles do you own?,How much do you pay for your monthly cellphone bill?,What is your monthly internet bill?,What is your monthly rent?,What is your monthly transportation spending?,How many kids do you have?,Are you vegetarian?,How much money do you spend for lunch?,What's favorite subject in highschool?,How many pets do you currently own?,How many cars do you own?,What kind of phone do you have?,What is your favorite sport?,Coca-Cola or Pepsi?,How many times do you dine at a restaurant every week?
Roper,Abraham,M,23,New Orleans,LA,US,178,76,,2,0,3,,12,2,2.33,,100,3,1,98,63,1560,320,0,,14.8,PhysEd,0,0,iOS,Football,Coca Cola,1
Velasquez,Trishstan,F,29,New Orleans,LA,US,159,65,,,1,2,0,12,1.5,3,47,,5,0,62,,960,90,1,No,11.6,Physics,0,0,Android,Football,,1
Chavez,Bria,F,28,New Orleans,LA,US,172,70,7.5,,0,,1,,1.17,,,70,3,0,83,64,,320,1,No,,Business,0,0,,Football,Pepsi,2
Mcneil,Lauren,F,26,New Orleans,LA,US,164,71,7,,,,,,1.67,2.5,38,,7,0,55,61,,320,0,No,,Music,0,0,,Football,Pepsi,1
Arkhipov,Dominique,F,22,New Orleans,LA,US,167,74,,2,1,1,0,16,1.5,2.83,,100,3,,,55,1560,320,0,No,8,,0,1,,,Coca Cola,1
Fields,II,F,24,New Orleans,LA,US,170,69,10.5,2,,1,0,,,3.5,47,90,3,0,59,58,,,0,,,,3,1,,,I Don't Care,
Embry,Jordan,M,20,New Orleans,LA,US,173,80,11,2,,1,,14,,2.67,36,100,,,93,66,1560,320,,Somewhat,0,Visual Arts,1,0,,Football,I Don't Care,6
Robinson,Benjamin,M,21,New Orleans,LA,US,186,96,,2,0,1,0,15,1.5,,,0,,,100,51,1560,320,,,0,Languages,0,0,,Football,Pepsi,2
Price,Johthan,M,22,New Orleans,LA,US,172,83,7.5,2,1,2,,16,1.83,4.17,35,,3,1,55,66,1560,,0,No,8.7,,1,1,,,I Don't Care,
Pelis,Alexandria,F,27,New Orleans,LA,US,,71,7,2,1,2,,,1.5,,49,80,3,3,60,58,,320,,No,9.9,Visual Arts,,,Android,,Pepsi,2
Neal,Duncan,M,24,New Orleans,LA,US,,,10,2,0,1,0,16,1.67,,45,0,7,0,,,1560,320,0,Somewhat,12.8,Computer Science and Technology,1,,,,I Don't Care,3
Ejigu,Axel,M,22,New Orleans,LA,US,,83,7.5,2,,1,1,16,1.83,2.33,21,0,,,45,,1560,410,0,No,9.7,Math,0,0,Android,Basketball,Pepsi,6
Riley,Devin,M,25,New Orleans,LA,US,183,71,11.5,2,1,,,,1.67,2.67,32,60,3,1,,,1560,320,,,11,Physics,2,,,Football,Coca Cola,2
Vialpando,Riley,M,21,New Orleans,LA,US,176,,9,2,,1,0,,2.5,1.5,37,50,,0,83,59,,320,0,,,Languages,0,,Android,Soccer,Coca Cola,1
Quijada,Quijada,F,22,New Orleans,LA,US,164,74,7,3,1,2,0,,0.33,,37,40,2,0,69,57,1560,320,0,No,,Music,,0,,Football,Pepsi,2
Bergman,Ariel,F,33,New Orleans,LA,US,171,,8,,0,,,15,2.17,2.67,,,,2,,,1720,,,No,10.1,Math,0,,Android,,I Don't Care,0
Martinez,Mercy,F,22,New Orleans,LA,US,,58,8,2,,1,0,16,2.83,3.17,46,80,3,0,82,,1560,320,0,No,,Computer Science and Technology,0,1,,Soccer,Pepsi,
Kuck,Michael,M,27,New Orleans,LA,US,165,82,8.5,,1,1,,17,,2.33,26,90,2,,61,51,1560,320,,,10.7,Geography,1,,,,,3
Vitro,Marissa,F,18,New Orleans,LA,US,,64,7.5,2,2,1,1,,,3.33,33,0,7,0,56,,,320,0,,3.5,Drama,0,,,Baseball,,
Flores,Tiffany,F,24,New Orleans,LA,US,162,76,,,0,2,0,14,1.67,1.83,37,120,,1,38,40,1560,320,0,,0,Physics,2,1,Android,,,
Bencomo,Anchondo,F,24,New Orleans,LA,US,,77,7.5,3,0,1,0,15,1.33,2.5,41,80,7,1,54,,1560,,,No,10.6,Computer Science and Technology,0,0,Android,Hockey,I Don't Care,3
Abdullah,Brandon,M,19,New Orleans,LA,US,181,87,12,2,0,2,,13,1.33,3,,130,4,2,76,55,1560,,,No,,Visual Arts,0,,Android,Basketball,I Don't Care,2
Martinez,Mariko,F,22,New Orleans,LA,US,167,,5.5,3,0,,1,,1.33,3,24,0,,,77,69,1560,320,,,,Chemistry,,0,,Baseball,I Don't Care,2
Marez,Sainyane,F,26,New Orleans,LA,US,164,,8,2,1,,0,,1,2.17,,0,,,50,,1560,320,0,No,8.8,English,1,1,Android,Baseball,I Don't Care,3
Johnson,Matthew,M,27,New Orleans,LA,US,166,90,9,2,,1,0,13,1.5,,23,,,,57,50,1560,320,1,Somewhat,8.1,Business,,1,Android,Basketball,I Don't Care,
Lehnhausen,Michael,M,27,New Orleans,LA,US,172,,8.5,2,,,0,13,1.83,2.5,,0,3,0,,73,,320,0,No,11.1,Visual Arts,1,1,Android,Football,I Don't Care,
Barksdale,Marcus,M,30,New Orleans,LA,US,178,,9,2,0,1,1,,1.67,2.83,30,130,3,1,,57,1630,170,0,Somewhat,13.8,Business,1,1,,Football,I Don't Care,4
Song,Trevon,M,31,New Orleans,LA,US,168,,9,2,0,2,1,15,1.5,,23,70,6,,56,62,1680,190,1,No,0,,0,1,,,Pepsi,
Popken,Kaylynne,F,23,New Orleans,LA,US,,63,8,,1,1,0,,0.67,2,48,100,3,,,58,1560,320,,,12.8,Computer Science and Technology,0,1,Android,Football,I Don't Care,1
Diawara,Ivan,M,20,New Orleans,LA,US,,80,10.5,2,0,,0,14,2,2.67,25,80,4,1,,,1560,320,0,No,0,Math,2,,,Baseball,Coca Cola,4
Than,Khalid,M,28,New Orleans,LA,US,171,73,,2,1,1,0,15,2.17,2.5,,0,2,0,59,54,,320,,No,,,0,,,Baseball,Pepsi,3
Davis,Felicia,F,23,New Orleans,LA,US,,,,2,,1,0,17,2.17,,20,,,,73,62,1560,320,,No,0,,,,Android,Baseball,Pepsi,
Atencio,Raechelle,F,24,New Orleans,LA,US,169,62,,2,,,0,14,1.67,2.5,38,70,,3,,75,1560,320,,No,13.3,Computer Science and Technology,,,Android,Soccer,Coca Cola,4
Harris,Antquant,F,26,New Orleans,LA,US,165,71,,2,0,1,0,14,1.17,2.17,63,50,6,1,86,68,1750,320,0,No,12.8,Music,0,1,,Football,I Don't Care,2
Smith,Edward,M,26,New Orleans,LA,US,,94,10.5,2,,,0,,2,2.5,33,,,2,58,62,,320,0,No,,,1,1,,Baseball,Coca Cola,3
Burciaga,Olivia,F,23,New Orleans,LA,US,169,66,,2,,1,,18,2,3,,70,1,0,46,,1560,,0,No,,Geography,0,1,iOS,Football,Coca Cola,1
Salazar,Avianha,F,23,New Orleans,LA,US,,,,2,1,1,0,13,1.5,1.83,16,0,,,68,57,1560,320,0,No,,PhysEd,0,0,Android,Baseball,Pepsi,1
Brutout,Wyatt,M,27,New Orleans,LA,US,174,78,11.5,,1,1,0,,,2.33,,100,5,,49,58,,320,,No,,,1,0,,,I Don't Care,2
Pollard,Christopher,M,18,New Orleans,LA,US,174,,9,3,0,1,0,,1.33,2.5,39,0,3,1,47,,,320,0,No,0,Computer Science and Technology,0,,Android,Basketball,Coca Cola,3
Mccoy,Joel,M,23,New Orleans,LA,US,174,83,,2,1,,0,,,2.83,38,70,2,1,,45,1560,320,,No,,History,1,0,Android,Basketball,I Don't Care,1
Porter,Tanisha,F,29,New Orleans,LA,US,165,71,,2,1,2,0,17,,2.17,54,80,,1,,,1180,70,0,No,0,PhysEd,1,,,Baseball,I Don't Care,2
Alonzo,Pachia,F,22,New Orleans,LA,US,168,72,,2,,1,0,,,3,24,80,1,0,49,,1560,320,0,,0,,1,1,,,I Don't Care,1
Treulieb-Kolostyak,Lucky,M,25,New Orleans,LA,US,181,81,9.5,2,1,1,0,19,2,2.17,,0,0,1,64,,1560,320,1,No,0,,2,,Android,Soccer,Coca Cola,0
Molir,Ramos,F,30,New Orleans,LA,US,,71,,2,0,1,,14,,,36,0,5,0,61,,1110,,0,No,,,,0,Android,Football,I Don't Care,4
Walter,Samrawit,F,18,New Orleans,LA,US,,73,8,,,1,,12,,2.17,,80,4,0,45,47,1620,320,0,No,0,Visual Arts,0,0,iOS,Soccer,I Don't Care,2
Alonso,Marih,F,26,New Orleans,LA,US,,,,2,0,2,,14,2.17,2.5,34,0,0,1,58,56,,320,,,,English,0,1,iOS,Football,Pepsi,2
Sinouansai,Christopher,M,23,New Orleans,LA,US,171,86,,,,1,0,,2,2.5,44,60,8,1,34,,,320,0,No,0,Drama,0,,Android,Football,Coca Cola,
Bartholomew,Tajaneek,F,25,New Orleans,LA,US,,70,,2,1,2,,13,1.33,,,70,5,,60,71,1560,320,1,No,11.6,Chemistry,0,1,Android,,Coca Cola,3
Prien,Marshelle,F,22,New Orleans,LA,US,170,,8,2,0,,0,16,,2,49,0,6,0,37,66,1560,,,,8.5,Music,0,,Android,,I Don't Care,2
Rubio,Shadow,M,26,New Orleans,LA,US,,70,8,2,0,,1,,1.67,2.33,,0,,,,71,1560,320,1,,12.7,Visual Arts,,0,,,Coca Cola,2
Kim,Keaton,M,24,New Orleans,LA,US,175,78,6,2,1,1,,18,1.5,,29,0,,1,53,,1560,320,0,No,7.7,,0,1,Android,Football,Coca Cola,3
Castro,Brittany,F,23,New Orleans,LA,US,,70,,2,1,,0,13,,2.5,,0,1,,77,56,1560,,0,No,0,Visual Arts,0,0,,Soccer,Pepsi,
Williams,Philip,M,25,New Orleans,LA,US,173,,7,2,0,,0,18,1.33,,40,,3,2,79,63,1560,320,1,No,8.8,Computer Science and Technology,,,,,Pepsi,
Bond,Joaquin,M,27,New Orleans,LA,US,163,89,11,,1,1,,14,1.67,2.67,,70,,0,56,61,1560,320,1,No,0,Business,0,0,,Football,,
Ford,Christian,M,21,New Orleans,LA,US,,89,8.5,2,1,,1,,1.33,3.17,56,70,3,2,54,,1560,320,0,,0,PhysEd,0,0,Android,Football,I Don't Care,3
Price,Kinsey,F,26,New Orleans,LA,US,160,,8,2,0,2,0,,1.5,2.83,50,0,,,59,49,,,0,,12.7,Languages,0,0,,Basketball,,3
Armstrong,Stephen,M,20,New Orleans,LA,US,,,11,2,1,1,0,,1.5,3.17,,,5,1,,67,1560,320,0,,,Visual Arts,1,0,Android,,I Don't Care,2
Pacheco,Talya,F,19,New Orleans,LA,US,,,,2,,1,0,13,1.83,2.83,27,40,6,1,63,60,1560,320,0,No,0,Business,2,0,Android,,I Don't Care,3
Bocanegra,Jennifer,F,22,New Orleans,LA,US,165,57,,2,,,,16,2,2.33,,0,5,0,77,61,1560,320,0,,,History,0,0,,Football,Pepsi,4
Barnes,Almiranda,F,28,New Orleans,LA,US,158,65,7.5,2,0,1,1,18,1.5,1.83,40,90,,0,,56,1560,320,,No,9.4,Geography,1,0,Android,Soccer,Coca Cola,
Hughes,Stella,F,25,New Orleans,LA,US,168,,10,,2,,1,20,1.83,2.67,40,50,7,2,77,71,,,0,No,11.9,Math,0,0,,Soccer,I Don't Care,3
Cooper,Sapphire,F,25,New Orleans,LA,US,174,,6.5,2,0,,,17,1.67,2.5,,80,,0,50,68,1560,,0,No,0,,3,0,,Baseball,I Don't Care,1
Johnson,Cheyenne,F,21,New Orleans,LA,US,,70,7.5,2,0,1,0,15,1.33,,39,50,8,1,67,,1560,320,0,No,0,PhysEd,1,0,Android,Basketball,Pepsi,1
Simmons,Thaddieus,M,21,New Orleans,LA,US,,80,10,2,0,2,0,15,1.5,,27,,7,0,,62,1560,320,0,No,0,Physics,,0,iOS,,Pepsi,5
Abassi,Kai,M,20,New Orleans,LA,US,174,,9,2,,1,1,,1.67,1.17,22,70,8,1,39,55,,320,,No,0,,,0,,Hockey,I Don't Care,1
Capaldo,An,F,27,New Orleans,LA,US,167,67,7.5,,1,1,1,,,3,,120,,1,,,1560,320,0,No,16.8,Chemistry,0,0,,Basketball,Coca Cola,2
Ivey,Sophia,F,19,New Orleans,LA,US,172,55,7.5,2,0,2,,,,2.17,,0,7,0,45,53,,320,0,,,Math,,0,Android,Baseball,Pepsi,4
Slogar,Emily,F,23,Portland,ME,US,156,,8,2,1,2,0,19,,3.33,38,100,4,0,64,,1370,290,0,No,6.1,Geography,,0,iOS,,Coca Cola,4
Leon,Kaela,F,22,Portland,ME,US,171,64,7,2,1,,,16,1.33,2,,,3,5,52,,,,0,No,8.7,Biology,0,,Android,Football,,
Yates,Vincent,M,22,Portland,ME,US,,,,,1,1,0,16,1.67,,19,0,7,3,33,55,1370,290,0,No,8.8,,3,1,,,,1
Villegas-Perez,Shawnquelle,F,28,Portland,ME,US,165,,6,,1,1,,13,1.33,,50,90,,1,80,65,1370,290,1,No,0,Drama,3,1,Android,Baseball,Pepsi,
Mohan,Anthony,M,24,Portland,ME,US,173,73,9.5,,1,1,1,15,1.5,2.33,24,,5,0,,46,1370,290,,No,11.2,PhysEd,1,0,,Basketball,I Don't Care,
Law,Shane,M,20,Portland,ME,US,174,85,9.5,2,0,1,0,14,1.83,,25,80,,1,58,46,1370,,0,No,0,Geography,0,0,,,Coca Cola,1
Kargar,Ca'Deejah,F,23,Portland,ME,US,170,69,,3,,1,,14,1.5,2.33,29,0,4,0,50,54,1370,,0,,10,,,,,Football,I Don't Care,0
Johnson,Brielle,F,21,Portland,ME,US,160,75,7.5,2,,2,0,15,1.33,3.17,33,0,4,1,55,50,,290,0,No,3.8,Math,0,0,,Baseball,Coca Cola,
Eltayeb,Tino,M,26,Portland,ME,US,173,76,,2,1,1,1,20,1,3,44,100,,0,27,44,,290,,No,13,Math,0,0,Android,Baseball,Coca Cola,0
Tran,Evan,M,23,Portland,ME,US,176,69,9,3,,2,1,,0.5,2,,50,1,1,52,,,,0,Somewhat,,Chemistry,1,,Android,Football,I Don't Care,4
Dagdagan,Anthony,M,23,Portland,ME,US,176,71,,2,1,1,,15,,2.17,45,0,2,0,28,,1370,,0,,13,Physics,2,,Windows,Basketball,I Don't Care,3
Bogan,Leisha,F,21,Portland,ME,US,160,84,7,2,0,2,0,15,2.33,2.17,23,,3,1,,36,1370,290,0,,0,Business,,0,,Football,,
Le,Derek,M,24,Portland,ME,US,178,80,5.5,2,,,0,,0.67,2.83,44,,0,,57,57,1550,290,0,No,10.4,Chemistry,0,1,Android,Football,,1
Jain,Dionicio,M,24,Portland,ME,US,171,,,2,,2,0,14,,,,0,5,0,69,48,1370,290,0,No,,Math,1,0,Android,,Pepsi,
Washington,Samuel,M,21,Minneapolis,MN,US,171,86,11,2,,2,0,15,1.83,3,27,0,,,46,,1380,360,0,Somewhat,,Math,,0,,Football,Pepsi,4
Torrey,Jake,M,20,Minneapolis,MN,US,,82,7.5,2,0,2,2,14,,,,0,6,1,67,,,360,0,No,0,Visual Arts,0,0,Android,Football,,4
Gjurekovec,Armani,M,22,Minneapolis,MN,US,171,85,10.5,2,0,2,,16,1.5,1.83,30,,5,0,74,73,1380,360,,No,15.4,Physics,1,,Android,Football,I Don't Care,
La,Edward,M,26,Minneapolis,MN,US,181,78,10,,1,2,,,1.67,3.33,,,6,0,54,73,1380,,,,5.9,Chemistry,0,0,,Basketball,,1
Xatkoun,Andrew,M,29,Minneapolis,MN,US,,58,9,2,1,1,0,17,1,,30,,6,0,77,72,900,120,0,No,0,,,,Android,Football,Coca Cola,0
Flowers,Casey,M,19,Minneapolis,MN,US,177,73,,2,0,1,0,13,2.17,2.67,34,80,4,1,94,63,1380,360,0,,0,Chemistry,,1,Android,,Pepsi,4
Soto,Resendiz,F,18,Minneapolis,MN,US,,56,,2,,1,0,12,1.5,2.67,40,90,1,0,77,68,1380,360,0,,,Drama,1,0,Android,Football,,1
Zaba,Yadira,F,28,Minneapolis,MN,US,169,75,7.5,3,1,1,0,15,2.5,,35,,,0,,69,,360,,No,14.5,Visual Arts,0,,Android,Baseball,Pepsi,3
Crist,Kownoon,F,25,Minneapolis,MN,US,165,78,,3,0,,0,20,1.5,2.83,20,,,0,77,,,360,1,Somewhat,0,Visual Arts,0,1,,Baseball,Pepsi,
Guizar,Osorio,F,17,Minneapolis,MN,US,167,66,6,2,1,1,0,11,,2.17,,0,2,,85,,1380,360,0,No,7.8,,1,0,Android,Football,I Don't Care,0
Patel,Mario,M,20,Minneapolis,MN,US,173,72,8.5,2,2,,0,14,,,,0,,0,,52,1380,360,0,No,0,History,0,0,,,I Don't Care,2
Busby,Amber,F,30,Minneapolis,MN,US,168,,9,2,0,1,,20,,3,3,0,5,,47,52,1420,120,0,,11.2,Chemistry,1,,iOS,Baseball,,1
Lira,Stephanie,F,19,Minneapolis,MN,US,,75,7.5,2,0,2,0,,1,2,47,0,3,,,70,1380,360,0,No,0,Chemistry,,0,iOS,Football,I Don't Care,3
Smith,Cesar,M,23,Minneapolis,MN,US,170,76,7.5,2,1,,0,13,1.67,2.33,,,7,0,93,82,1380,,,No,12.4,,,,Android,,I Don't Care,5
Werner,Braxton,M,23,Minneapolis,MN,US,164,,8.5,,0,4,0,16,,3.5,46,110,,,72,58,1380,360,0,No,12.3,Geography,3,0,,Baseball,Coca Cola,
Hoang,Alec,M,24,Minneapolis,MN,US,176,,7.5,,1,2,1,19,,2.33,42,100,,,62,73,1380,360,0,,12,Computer Science and Technology,0,0,Android,Football,,0
Fine,Alyssa,F,22,Minneapolis,MN,US,160,62,9,2,0,1,0,,1.5,,,90,1,,90,61,,,,No,0,,0,0,Android,Football,I Don't Care,1
Maileoi,John,M,26,Minneapolis,MN,US,174,69,11,2,1,2,1,18,2,2,45,,7,0,70,80,1380,,1,Somewhat,,,0,0,Android,,I Don't Care,1
Thao,Alex,M,22,Minneapolis,MN,US,172,,9.5,2,0,2,0,16,1.67,,48,100,4,0,52,72,1380,,0,No,,Drama,0,0,,Soccer,,3
Arias,Brenda,F,23,Minneapolis,MN,US,170,,7.5,2,0,1,0,13,2,,47,70,4,,68,80,1380,360,0,Somewhat,9.9,Business,0,,Android,,,1
Mejia,Darlin,F,22,Minneapolis,MN,US,178,,7,,0,1,0,,1.5,2.17,34,,3,0,72,56,,360,0,,15.6,Biology,1,,,,Coca Cola,3
Luster,Julie,F,27,Minneapolis,MN,US,173,61,6.5,,,1,0,16,,2.17,27,70,2,1,55,70,,360,1,No,,History,0,0,Android,Soccer,I Don't Care,6
Ta,Roderick,M,28,Minneapolis,MN,US,174,76,9,2,0,1,,14,1.67,3,27,80,,1,86,60,1380,360,,No,,,0,0,,Basketball,I Don't Care,
Hensinger,II,M,28,Minneapolis,MN,US,186,,,2,0,1,1,19,0.67,2.67,29,90,6,1,,,,360,1,No,0,,2,1,Android,Football,Coca Cola,1
Mitzner,Zane,M,24,Minneapolis,MN,US,183,85,9,2,,1,0,,1.67,3.17,42,90,10,1,53,,1430,,1,No,16.3,Drama,0,,,,Pepsi,2
Ham,Shahzad,M,20,Minneapolis,MN,US,175,,10,2,0,,0,14,2,1.83,21,0,5,1,64,61,1410,360,,,0,Drama,0,0,iOS,,,1
Difrancesco,Kayleigh,F,23,Minneapolis,MN,US,163,,6.5,2,1,,1,16,1.83,1.83,19,70,5,1,63,50,1380,360,0,No,,Biology,3,,Android,Baseball,,2
Vaile,Shyheim,M,22,Minneapolis,MN,US,171,90,9,2,0,,0,16,1.17,2.5,45,50,2,2,63,69,,360,0,No,5.2,Music,1,1,,,Coca Cola,3
Kemm,Brian,F,23,Minneapolis,MN,US,168,77,7.5,2,1,1,0,17,1.67,2.83,41,,2,,79,68,1380,360,0,Somewhat,,Business,1,0,,Soccer,I Don't Care,
Noeller,Joseph,M,23,Minneapolis,MN,US,,97,9.5,,0,2,,,1.67,2.17,50,70,4,1,45,,,,0,No,,Computer Science and Technology,0,,Blackberry,Basketball,I Don't Care,1
Hartwell,Mira,F,19,Minneapolis,MN,US,179,58,9,,0,2,1,13,,,25,0,4,1,69,63,1380,360,0,No,,,0,0,,Basketball,Pepsi,
Maher,Jessica,F,23,Minneapolis,MN,US,,70,6,3,0,1,,14,1.67,,43,,,1,85,,1380,360,,No,0,,3,0,,,Pepsi,3
Zavala,Jayde,F,22,Minneapolis,MN,US,169,68,7,2,0,1,,,1.83,2.17,49,70,,0,72,70,1380,360,,,,Physics,0,,Android,Football,Coca Cola,2
Valverde,Valentin,F,17,Minneapolis,MN,US,163,59,9.5,,,1,0,11,1.67,2.33,,120,2,,80,56,,360,0,No,,Chemistry,0,0,Android,,Pepsi,0
Noor,Trenda,F,24,Minneapolis,MN,US,157,60,,2,0,2,0,18,1.33,,27,70,1,1,99,,1380,,,No,0,,0,1,Android,Soccer,Pepsi,
Manney,Mariah,F,30,Minneapolis,MN,US,,64,8,,0,2,2,15,2,2.33,46,70,4,,20,88,1110,80,0,Somewhat,,,3,0,,Basketball,Coca Cola,3
Sanchez,Andreia,F,24,Minneapolis,MN,US,162,68,7.5,2,3,1,,,2.5,2.17,43,,3,1,73,72,1620,360,0,No,13.1,,1,1,Windows,Football,Pepsi,3
Tenorio-West,Reece,M,18,Minneapolis,MN,US,,74,10,2,,1,,12,1.67,2.17,,80,5,2,73,63,1380,360,0,No,0,,0,0,,Football,,1
Call,Abrelia,F,20,Minneapolis,MN,US,167,64,,2,1,2,0,14,1.33,2.83,,60,2,,,,1380,360,0,No,0,English,0,,,Football,,
Bell,Hali,F,27,Minneapolis,MN,US,170,52,8,2,,1,0,,1.5,,32,0,4,1,64,65,,360,0,No,0,Geography,1,1,,Football,,4
Kelly,Arian,F,23,Minneapolis,MN,US,,,8,2,0,,0,,1.5,1.33,53,0,,0,69,,1480,360,,No,,Visual Arts,1,0,Android,,Coca Cola,2
Ruiz,Gamboa,F,26,Minneapolis,MN,US,163,68,7.5,2,0,2,1,19,2,2.33,45,80,,,51,,1380,360,0,No,7.2,Biology,0,1,,Football,I Don't Care,
Dickson,Denise,F,22,Minneapolis,MN,US,162,,,,0,1,0,16,,2,43,0,,0,51,,,360,0,No,8.4,,,1,Android,Hockey,Coca Cola,5
Conrad,Michael,M,22,Minneapolis,MN,US,,,7,2,1,1,0,16,1,2.83,26,90,,2,62,63,1380,360,0,Somewhat,16,Music,0,1,Android,Hockey,Pepsi,2
Douglas,Raven,F,24,Minneapolis,MN,US,,43,7,2,1,1,0,,1.67,2.83,37,,4,,62,77,1380,360,0,No,9.4,,0,0,Android,,I Don't Care,1
Teague,Graig,M,22,Minneapolis,MN,US,,81,6.5,2,0,1,1,,1.5,2,48,,,0,,76,1460,,0,No,0,Chemistry,1,0,,Football,,2
Banerjee,Isaiah,M,23,Minneapolis,MN,US,182,82,10.5,2,1,1,,14,2.5,2.17,53,,3,4,38,55,1380,360,,No,,Languages,,1,,Football,Pepsi,4
Killingsworth,Jeremy,M,23,Minneapolis,MN,US,181,77,10.5,2,1,,,16,2.5,2.5,30,80,3,0,,70,1380,,0,No,,Chemistry,1,0,,,Pepsi,2
Morben,Joshua,M,20,Minneapolis,MN,US,,,10,2,1,4,1,,1.33,3,37,,2,1,73,64,1380,,,No,0,PhysEd,0,0,,Soccer,Coca Cola,0
Thames,Michaela,F,31,Minneapolis,MN,US,168,66,7,2,1,,0,16,1.83,2.33,22,,4,1,35,71,,330,0,No,,PhysEd,,0,Android,Football,Pepsi,4
Holt,Cheyenne,M,29,Minneapolis,MN,US,190,88,9.5,2,1,3,0,20,,,27,,3,,,71,1060,330,1,No,,Drama,0,,,Football,I Don't Care,4
Vanderpool,Brenda,F,25,Minneapolis,MN,US,158,72,7.5,,0,2,1,13,1.33,,,90,5,,45,,1380,,,,16.1,,,,,,,2
Mendez,Young,F,18,Minneapolis,MN,US,167,67,7,2,0,1,0,12,2.33,2.33,,80,,,,56,,360,0,No,0,Languages,,,Android,Baseball,Coca Cola,1
Vann,Bum,M,31,Minneapolis,MN,US,,79,,,0,2,0,20,,1.67,41,0,1,0,,,,260,,No,9.4,,2,1,iOS,Soccer,,3
Thapa,Jothan,M,22,Minneapolis,MN,US,179,81,10,2,,1,1,16,1.33,2.67,31,,,0,65,46,1380,,,No,16.1,Visual Arts,,1,,Soccer,Pepsi,4
Mendoza,Sara,F,25,Minneapolis,MN,US,,70,8,2,1,1,0,12,1,,40,90,4,,54,,1380,360,,No,,Chemistry,1,0,,Basketball,I Don't Care,2
Park,Alex,M,23,Minneapolis,MN,US,172,70,10,2,2,1,0,15,1.33,2.17,30,0,4,0,,,1380,360,,No,8.3,Geography,0,,Android,Football,Coca Cola,
He,Jordan,M,24,Minneapolis,MN,US,,,8.5,2,,3,1,,1.33,2.83,43,60,1,,,59,1380,,,No,0,Biology,1,0,Android,,I Don't Care,1
Mier,tasha,F,23,Minneapolis,MN,US,160,,7.5,2,0,2,,14,1.5,2.17,29,,4,,49,,1380,360,0,No,,Math,,,,Baseball,Pepsi,0
Weston,Brandon,M,26,Minneapolis,MN,US,171,82,8.5,3,0,,,,1.5,3.17,,50,1,1,67,65,1380,360,,No,0,Business,0,,,Baseball,Coca Cola,
Hogan,Desti,F,19,Minneapolis,MN,US,162,65,7.5,2,1,,0,,,2.33,,,3,2,83,,1380,360,0,,4.4,,1,0,,,,
Rossi,Jothan,M,26,Minneapolis,MN,US,,,7,2,1,2,1,19,1.67,2.5,45,0,,1,,66,1380,,1,No,0,Physics,1,0,,,,1
Sifuentes,Tania,F,23,Minneapolis,MN,US,163,73,8.5,2,0,1,0,,,,59,70,10,1,,53,1380,360,0,No,9.1,Geography,4,,Android,Soccer,,3
Brawner,Shiloh,F,22,Minneapolis,MN,US,165,,7.5,,0,1,0,16,2.17,,34,90,0,0,98,82,1380,360,0,,9.7,,,1,,,I Don't Care,2
Pratt,Itzel,F,27,Minneapolis,MN,US,,47,6.5,2,,1,0,14,1.17,1.67,31,,4,0,,55,1380,,,No,,History,1,0,Android,Basketball,Pepsi,1
Tinsley,Kenny,M,30,Minneapolis,MN,US,174,83,10,2,0,,0,13,,2,30,80,5,0,,73,1010,,1,No,13.1,History,1,0,iOS,Hockey,I Don't Care,
Thao,Brandon,M,29,Minneapolis,MN,US,186,67,,2,0,2,,19,,3.33,46,,6,,,64,910,,0,No,9.8,,2,1,Android,Basketball,Coca Cola,1
Villela,Emoni,F,21,Minneapolis,MN,US,162,49,7,2,0,1,0,15,,2.33,24,90,4,,,83,1380,360,0,No,0,,0,0,,Football,,
Plante,Crystal,F,17,Minneapolis,MN,US,169,,8,2,,4,0,11,2.5,,34,,4,,70,70,1380,360,0,,7.2,,,0,Blackberry,Football,I Don't Care,0
Sherer,Cheyenne,F,20,Minneapolis,MN,US,,66,7,2,1,,0,,2.33,1.67,,80,,1,63,58,1380,360,,Somewhat,3.9,,0,0,Android,Soccer,Coca Cola,1
Boswell,Vincent,M,20,Minneapolis,MN,US,168,90,10,2,0,2,0,14,1.67,2.17,,,6,2,,68,1380,360,0,No,0,,0,0,,Football,Coca Cola,2
Sumbunu,Adrian,M,18,Minneapolis,MN,US,,,8.5,2,0,2,0,12,2.67,1.83,,0,,,85,58,,360,0,No,0,Geography,1,0,Android,Baseball,I Don't Care,
Pacheco,Villanueva,F,26,Minneapolis,MN,US,,83,6.5,3,3,2,,,2.83,2.33,,90,,0,68,70,1560,360,0,No,13.4,Visual Arts,3,1,Windows,,I Don't Care,
Kieft,Jordan,F,21,Minneapolis,MN,US,,68,,2,,1,0,15,1.17,,42,60,6,0,79,81,1380,,0,No,0,History,0,,Android,Football,I Don't Care,4
Vigil,Jay,F,25,Minneapolis,MN,US,,62,6.5,2,1,1,,,,,30,70,3,0,97,57,,360,,No,9.1,PhysEd,,,,,I Don't Care,0
